id,name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,n_types,sec_type_bug,sec_type_dark,sec_type_dragon,sec_type_electric,sec_type_fairy,sec_type_fighting,sec_type_fire,sec_type_flying,sec_type_ghost,sec_type_grass,sec_type_ground,sec_type_ice,sec_type_none,sec_type_normal,sec_type_poison,sec_type_psychic,sec_type_rock,sec_type_steel,sec_type_water
82,magneton,10,600,163.0,50,60,95,120,70,70,electric,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
83,farfetchd,8,150,132.0,52,90,55,58,62,60,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
84,doduo,14,392,62.0,35,85,45,35,35,75,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
85,dodrio,18,852,165.0,60,110,70,60,60,110,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
86,seel,11,900,65.0,65,45,55,45,70,45,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
87,dewgong,17,1200,166.0,90,70,80,70,95,70,water,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
88,grimer,9,300,65.0,80,80,50,40,50,25,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
89,muk,12,300,175.0,105,105,75,65,100,50,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
90,shellder,3,40,61.0,30,65,100,45,25,40,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
91,cloyster,15,1325,184.0,50,95,180,85,45,70,water,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
92,gastly,13,1,62.0,30,35,30,100,35,80,ghost,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
93,haunter,16,1,142.0,45,50,45,115,55,95,ghost,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
94,gengar,15,405,225.0,60,65,60,130,75,110,ghost,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
95,onix,88,2100,77.0,35,45,160,30,45,70,rock,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
96,drowzee,10,324,66.0,60,48,45,43,90,42,psychic,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
97,hypno,16,756,169.0,85,73,70,73,115,67,psychic,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
98,krabby,4,65,65.0,30,105,90,25,25,50,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
99,kingler,13,600,166.0,55,130,115,50,50,75,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
100,voltorb,5,104,66.0,40,30,50,55,55,100,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
101,electrode,12,666,172.0,60,50,70,80,80,150,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
102,exeggcute,4,25,65.0,60,40,80,60,45,40,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
103,exeggutor,20,1200,186.0,95,95,85,125,75,55,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
104,cubone,4,65,64.0,50,50,95,40,50,35,ground,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
105,marowak,10,450,149.0,60,80,110,50,80,45,ground,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
106,hitmonlee,15,498,159.0,50,120,53,35,110,87,fighting,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
107,hitmonchan,14,502,159.0,50,105,79,35,110,76,fighting,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
108,lickitung,12,655,77.0,90,55,75,60,75,30,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
109,koffing,6,10,68.0,40,65,95,60,45,35,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
110,weezing,12,95,172.0,65,90,120,85,70,60,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
111,rhyhorn,10,1150,69.0,80,85,95,30,30,25,ground,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
112,rhydon,19,1200,170.0,105,130,120,45,45,40,ground,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
113,chansey,11,346,395.0,250,5,5,35,105,50,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
114,tangela,10,350,87.0,65,55,115,100,40,60,grass,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
115,kangaskhan,22,800,172.0,105,95,80,40,80,90,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
116,horsea,4,80,59.0,30,40,70,70,25,60,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
117,seadra,12,250,154.0,55,65,95,95,45,85,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
118,goldeen,6,150,64.0,45,67,60,35,50,63,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
119,seaking,13,390,158.0,80,92,65,65,80,68,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
120,staryu,8,345,68.0,30,45,55,70,55,85,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
121,starmie,11,800,182.0,60,75,85,100,85,115,water,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
122,mr-mime,13,545,161.0,40,45,65,100,120,90,psychic,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123,scyther,15,560,100.0,70,110,80,55,80,105,bug,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
124,jynx,14,406,159.0,65,50,35,115,95,95,ice,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
125,electabuzz,11,300,172.0,65,83,57,95,85,105,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
126,magmar,13,445,173.0,65,95,57,100,85,93,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
127,pinsir,15,550,175.0,65,125,100,55,70,85,bug,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
128,tauros,14,884,172.0,75,100,95,40,70,110,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
129,magikarp,9,100,40.0,20,10,55,15,20,80,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
130,gyarados,65,2350,189.0,95,125,79,60,100,81,water,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
131,lapras,25,2200,187.0,130,85,80,85,95,60,water,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
132,ditto,3,40,101.0,48,48,48,48,48,48,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
133,eevee,3,65,65.0,55,55,50,45,65,55,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
134,vaporeon,10,290,184.0,130,65,60,110,95,65,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
135,jolteon,8,245,184.0,65,65,60,110,95,130,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
136,flareon,9,250,184.0,65,130,60,95,110,65,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
137,porygon,8,365,79.0,65,60,70,85,75,40,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
138,omanyte,4,75,71.0,35,40,100,90,55,35,rock,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
139,omastar,10,350,173.0,70,60,125,115,70,55,rock,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
140,kabuto,5,115,71.0,30,80,90,55,45,55,rock,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
141,kabutops,13,405,173.0,60,115,105,65,70,80,rock,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
142,aerodactyl,18,590,180.0,80,105,65,60,75,130,rock,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
143,snorlax,21,4600,189.0,160,110,65,65,110,30,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
144,articuno,17,554,261.0,90,85,100,95,125,85,ice,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
145,zapdos,16,526,261.0,90,90,85,125,90,100,electric,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
146,moltres,20,600,261.0,90,100,90,125,85,90,fire,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
147,dratini,18,33,60.0,41,64,45,50,50,50,dragon,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
148,dragonair,40,165,147.0,61,84,65,70,70,70,dragon,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
149,dragonite,22,2100,270.0,91,134,95,100,100,80,dragon,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
150,mewtwo,20,1220,306.0,106,110,90,154,90,130,psychic,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
151,mew,4,40,270.0,100,100,100,100,100,100,psychic,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
152,chikorita,9,64,64.0,45,49,65,49,65,45,grass,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
153,bayleef,12,158,142.0,60,62,80,63,80,60,grass,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
154,meganium,18,1005,236.0,80,82,100,83,100,80,grass,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
155,cyndaquil,5,79,62.0,39,52,43,60,50,65,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
156,quilava,9,190,142.0,58,64,58,80,65,80,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
157,typhlosion,17,795,240.0,78,84,78,109,85,100,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
158,totodile,6,95,63.0,50,65,64,44,48,43,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
159,croconaw,11,250,142.0,65,80,80,59,63,58,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
160,feraligatr,23,888,239.0,85,105,100,79,83,78,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
161,sentret,8,60,43.0,35,46,34,35,45,20,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
162,furret,18,325,145.0,85,76,64,45,55,90,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
163,hoothoot,7,212,52.0,60,30,30,36,56,50,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
164,noctowl,16,408,158.0,100,50,50,86,96,70,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
165,ledyba,10,108,53.0,40,20,30,40,80,55,bug,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
166,ledian,14,356,137.0,55,35,50,55,110,85,bug,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
167,spinarak,5,85,50.0,40,60,40,40,40,30,bug,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
168,ariados,11,335,140.0,70,90,70,60,70,40,bug,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
169,crobat,18,750,241.0,85,90,80,70,80,130,poison,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
170,chinchou,5,120,66.0,75,38,38,56,56,67,water,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171,lanturn,12,225,161.0,125,58,58,76,76,67,water,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
172,pichu,3,20,41.0,20,40,15,35,35,60,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
173,cleffa,3,30,44.0,50,25,28,45,55,15,fairy,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
174,igglybuff,3,10,42.0,90,30,15,40,20,15,normal,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
175,togepi,3,15,49.0,35,20,65,40,65,20,fairy,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
176,togetic,6,32,142.0,55,40,85,80,105,40,fairy,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
177,natu,2,20,64.0,40,50,45,70,45,70,psychic,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
178,xatu,15,150,165.0,65,75,70,95,70,95,psychic,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
179,mareep,6,78,56.0,55,40,40,65,45,35,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
180,flaaffy,8,133,128.0,70,55,55,80,60,45,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
181,ampharos,14,615,230.0,90,75,85,115,90,55,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
182,bellossom,4,58,221.0,75,80,95,90,100,50,grass,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
183,marill,4,85,88.0,70,20,50,20,50,40,water,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184,azumarill,8,285,189.0,100,50,80,60,80,50,water,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
185,sudowoodo,12,380,144.0,70,100,115,30,65,30,rock,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
186,politoed,11,339,225.0,90,75,75,90,100,70,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
187,hoppip,4,5,50.0,35,35,40,35,55,50,grass,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
188,skiploom,6,10,119.0,55,45,50,45,65,80,grass,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
189,jumpluff,8,30,207.0,75,55,70,55,95,110,grass,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
190,aipom,8,115,72.0,55,70,55,40,55,85,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
191,sunkern,3,18,36.0,30,30,30,30,30,30,grass,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
192,sunflora,8,85,149.0,75,75,55,105,85,30,grass,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
193,yanma,12,380,78.0,65,65,45,75,45,95,bug,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
194,wooper,4,85,42.0,55,45,45,25,25,15,water,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
